crudeoil,cases,vaccines,holidays,crudeoil_one,cases_one,vaccines_one,holidays_one,crudeoil_two,cases_two,vaccines_two,holidays_two,crudeoil_three,cases_three,vaccines_three,holidays_three
null,202571,180744,0,49.099998,248961,413185,0,48.360001,237228,270632,0,47.82,240691,158889,0
null,185349,104264,0,null,202571,180744,0,49.099998,248961,413185,0,48.360001,237228,270632,0
47.740002,189717,380539,0,null,185349,104264,0,null,202571,180744,0,49.099998,248961,413185,0
47.02,201972,448251,0,47.740002,189717,380539,0,null,185349,104264,0,null,202571,180744,0
48.119999,225783,571835,0,47.02,201972,448251,0,47.740002,189717,380539,0,null,185349,104264,0
null,204888,195541,1,48.119999,225783,571835,0,47.02,201972,448251,0,47.740002,189717,380539,0
null,108684,12572,1,null,204888,195541,1,48.119999,225783,571835,0,47.02,201972,448251,0
null,218993,140812,0,null,108684,12572,1,null,204888,195541,1,48.119999,225783,571835,0
null,154995,96330,0,null,218993,140812,0,null,108684,12572,1,null,204888,195541,1
47.619999,166686,586373,0,null,154995,96330,0,null,218993,140812,0,null,108684,12572,1
48,201697,716621,0,47.619999,166686,586373,0,null,154995,96330,0,null,218993,140812,0
48.400002,222929,837066,0,48,201697,716621,0,47.619999,166686,586373,0,null,154995,96330,0
48.52,258110,420280,1,48.400002,222929,837066,0,48,201697,716621,0,47.619999,166686,586373,0
null,166253,85577,1,48.52,258110,420280,1,48.400002,222929,837066,0,48,201697,716621,0
null,295883,261135,0,null,166253,85577,1,48.52,258110,420280,1,48.400002,222929,837066,0
null,203650,136604,0,null,295883,261135,0,null,166253,85577,1,48.52,258110,420280,1
47.619999,181668,650677,0,null,203650,136604,0,null,295883,261135,0,null,166253,85577,1
49.93,231270,824151,0,47.619999,181668,650677,0,null,203650,136604,0,null,295883,261135,0
50.630001,256885,1013971,0,49.93,231270,824151,0,47.619999,181668,650677,0,null,203650,136604,0
50.830002,288631,1162310,0,50.630001,256885,1013971,0,49.93,231270,824151,0,47.619999,181668,650677,0
52.240002,303487,1229154,0,50.830002,288631,1162310,0,50.630001,256885,1013971,0,49.93,231270,824151,0
null,259534,506006,0,52.240002,303487,1229154,0,50.830002,288631,1162310,0,50.630001,256885,1013971,0
null,213376,248774,0,null,259534,506006,0,52.240002,303487,1229154,0,50.830002,288631,1162310,0
52.25,210836,1065987,0,null,213376,248774,0,null,259534,506006,0,52.240002,303487,1229154,0
53.209999,218902,1252841,0,52.25,210836,1065987,0,null,213376,248774,0,null,259534,506006,0
52.91,229843,1318682,0,53.209999,218902,1252841,0,52.25,210836,1065987,0,null,213376,248774,0
53.57,238043,1307715,0,52.91,229843,1318682,0,53.209999,218902,1252841,0,52.25,210836,1065987,0
52.360001,247026,1260078,0,53.57,238043,1307715,0,52.91,229843,1318682,0,53.209999,218902,1252841,0
null,208632,654743,0,52.360001,247026,1260078,0,53.57,238043,1307715,0,52.91,229843,1318682,0
null,176588,306662,0,null,208632,654743,0,52.360001,247026,1260078,0,53.57,238043,1307715,0
null,141072,884235,1,null,176588,306662,0,null,208632,654743,0,52.360001,247026,1260078,0
52.98,164287,1348733,0,null,141072,884235,1,null,176588,306662,0,null,208632,654743,0
53.240002,185392,1623293,0,52.98,164287,1348733,0,null,141072,884235,1,null,176588,306662,0
53.130001,192327,1644030,0,53.240002,185392,1623293,0,52.98,164287,1348733,0,null,141072,884235,1
52.27,189527,1619533,0,53.130001,192327,1644030,0,53.240002,185392,1623293,0,52.98,164287,1348733,0
null,174863,905280,0,52.27,189527,1619533,0,53.130001,192327,1644030,0,53.240002,185392,1623293,0
null,137834,396030,0,null,174863,905280,0,52.27,189527,1619533,0,53.130001,192327,1644030,0
52.77,142118,1367390,0,null,137834,396030,0,null,174863,905280,0,52.27,189527,1619533,0
52.610001,144784,1655725,0,52.77,142118,1367390,0,null,137834,396030,0,null,174863,905280,0
52.849998,155137,1922743,0,52.610001,144784,1655725,0,52.77,142118,1367390,0,null,137834,396030,0
52.34,167436,1953753,0,52.849998,155137,1922743,0,52.610001,144784,1655725,0,52.77,142118,1367390,0
52.200001,165847,1907882,0,52.34,167436,1953753,0,52.849998,155137,1922743,0,52.610001,144784,1655725,0
null,145684,1019431,0,52.200001,165847,1907882,0,52.34,167436,1953753,0,52.849998,155137,1922743,0
null,115429,461855,0,null,145684,1019431,0,52.200001,165847,1907882,0,52.34,167436,1953753,0
53.549999,129368,1367800,0,null,115429,461855,0,null,145684,1019431,0,52.200001,165847,1907882,0
54.759998,113873,1685981,0,53.549999,129368,1367800,0,null,115429,461855,0,null,145684,1019431,0
55.689999,123113,2133752,0,54.759998,113873,1685981,0,53.549999,129368,1367800,0,null,115429,461855,0
56.23,123928,2333641,0,55.689999,123113,2133752,0,54.759998,113873,1685981,0,53.549999,129368,1367800,0
56.849998,131662,2353702,0,56.23,123928,2333641,0,55.689999,123113,2133752,0,54.759998,113873,1685981,0
null,110953,1295632,0,56.849998,131662,2353702,0,56.23,123928,2333641,0,55.689999,123113,2133752,0
null,91883,448108,0,null,110953,1295632,0,56.849998,131662,2353702,0,56.23,123928,2333641,0
57.970001,85010,1571531,0,null,91883,448108,0,null,110953,1295632,0,56.849998,131662,2353702,0
58.360001,94595,1965816,0,57.970001,85010,1571531,0,null,91883,448108,0,null,110953,1295632,0
58.68,95832,2293602,0,58.360001,94595,1965816,0,57.970001,85010,1571531,0,null,91883,448108,0
58.240002,106303,2393677,0,58.68,95832,2293602,0,58.360001,94595,1965816,0,57.970001,85010,1571531,0
59.470001,100031,2577698,0,58.240002,106303,2393677,0,58.68,95832,2293602,0,58.360001,94595,1965816,0
null,88854,1471433,0,59.470001,100031,2577698,0,58.240002,106303,2393677,0,58.68,95832,2293602,0
null,66349,592083,1,null,88854,1471433,0,59.470001,100031,2577698,0,58.240002,106303,2393677,0
null,54643,1176172,1,null,66349,592083,1,null,88854,1471433,0,59.470001,100031,2577698,0
60.049999,58603,1618758,0,null,54643,1176172,1,null,66349,592083,1,null,88854,1471433,0
61.139999,70069,1959644,0,60.049999,58603,1618758,0,null,54643,1176172,1,null,66349,592083,1
60.52,71356,1853978,0,61.139999,70069,1959644,0,60.049999,58603,1618758,0,null,54643,1176172,1
59.240002,78186,1963247,0,60.52,71356,1853978,0,61.139999,70069,1959644,0,60.049999,58603,1618758,0
null,73407,1304478,0,59.240002,78186,1963247,0,60.52,71356,1853978,0,61.139999,70069,1959644,0
null,57896,594647,0,null,73407,1304478,0,59.240002,78186,1963247,0,60.52,71356,1853978,0
61.490002,54839,1458754,0,null,57896,594647,0,null,73407,1304478,0,59.240002,78186,1963247,0
61.669998,72016,1937963,0,61.490002,54839,1458754,0,null,57896,594647,0,null,73407,1304478,0
63.220001,75012,2520291,0,61.669998,72016,1937963,0,61.490002,54839,1458754,0,null,57896,594647,0
63.529999,78057,2927522,0,63.220001,75012,2520291,0,61.669998,72016,1937963,0,61.490002,54839,1458754,0
61.5,78735,3095956,0,63.529999,78057,2927522,0,63.220001,75012,2520291,0,61.669998,72016,1937963,0
null,66066,1984377,0,61.5,78735,3095956,0,63.529999,78057,2927522,0,63.220001,75012,2520291,0
null,51867,852087,0,null,66066,1984377,0,61.5,78735,3095956,0,63.529999,78057,2927522,0
60.639999,54489,2015050,0,null,51867,852087,0,null,66066,1984377,0,61.5,78735,3095956,0
59.75,57067,2452002,0,60.639999,54489,2015050,0,null,51867,852087,0,null,66066,1984377,0
61.279999,67149,2893579,0,59.75,57067,2452002,0,60.639999,54489,2015050,0,null,51867,852087,0
63.830002,68532,3189758,0,61.279999,67149,2893579,0,59.75,57067,2452002,0,60.639999,54489,2015050,0
66.089996,66865,3214650,0,63.830002,68532,3189758,0,61.279999,67149,2893579,0,59.75,57067,2452002,0
null,59295,2046807,0,66.089996,66865,3214650,0,63.830002,68532,3189758,0,61.279999,67149,2893579,0
null,42066,926233,0,null,59295,2046807,0,66.089996,66865,3214650,0,63.830002,68532,3189758,0
65.050003,44312,2153722,0,null,42066,926233,0,null,59295,2046807,0,66.089996,66865,3214650,0
64.010002,55806,2700135,0,65.050003,44312,2153722,0,null,42066,926233,0,null,59295,2046807,0
64.440002,58231,3117812,0,64.010002,55806,2700135,0,65.050003,44312,2153722,0,null,42066,926233,0
66.019997,62891,3431301,0,64.440002,58231,3117812,0,64.010002,55806,2700135,0,65.050003,44312,2153722,0
65.610001,62073,3414563,0,66.019997,62891,3431301,0,64.440002,58231,3117812,0,64.010002,55806,2700135,0
null,53592,2188389,0,65.610001,62073,3414563,0,66.019997,62891,3431301,0,64.440002,58231,3117812,0
null,38852,983152,0,null,53592,2188389,0,65.610001,62073,3414563,0,66.019997,62891,3431301,0
65.389999,54768,2275807,0,null,38852,983152,0,null,53592,2188389,0,65.610001,62073,3414563,0
64.800003,54381,2874904,0,65.389999,54768,2275807,0,null,38852,983152,0,null,53592,2188389,0
64.599998,59487,3155185,0,64.800003,54381,2874904,0,65.389999,54768,2275807,0,null,38852,983152,0
60,60525,3399395,0,64.599998,59487,3155185,0,64.800003,54381,2874904,0,65.389999,54768,2275807,0
61.419998,62065,3324518,0,60,60525,3399395,0,64.599998,59487,3155185,0,64.800003,54381,2874904,0
null,57022,2149774,0,61.419998,62065,3324518,0,60,60525,3399395,0,64.599998,59487,3155185,0
null,34978,1020059,0,null,57022,2149774,0,61.419998,62065,3324518,0,60,60525,3399395,0
61.549999,49481,2356424,0,null,34978,1020059,0,null,57022,2149774,0,61.419998,62065,3324518,0
57.759998,53299,3052905,0,61.549999,49481,2356424,0,null,34978,1020059,0,null,57022,2149774,0
61.18,87121,3543018,0,57.759998,53299,3052905,0,61.549999,49481,2356424,0,null,34978,1020059,0
58.560001,67976,3819390,0,61.18,87121,3543018,0,57.759998,53299,3052905,0,61.549999,49481,2356424,0
60.970001,77545,3816753,0,58.560001,67976,3819390,0,61.18,87121,3543018,0,57.759998,53299,3052905,0
null,62223,2462024,0,60.970001,77545,3816753,0,58.560001,67976,3819390,0,61.18,87121,3543018,0
null,46354,1205640,0,null,62223,2462024,0,60.970001,77545,3816753,0,58.560001,67976,3819390,0
61.560001,67298,2826806,0,null,46354,1205640,0,null,62223,2462024,0,60.970001,77545,3816753,0
60.549999,61437,3577372,0,61.560001,67298,2826806,0,null,46354,1205640,0,null,62223,2462024,0
59.16,66972,4151225,0,60.549999,61437,3577372,0,61.560001,67298,2826806,0,null,46354,1205640,0
61.450001,79189,4507918,0,59.16,66972,4151225,0,60.549999,61437,3577372,0,61.560001,67298,2826806,0
null,71849,3638221,0,61.450001,79189,4507918,0,59.16,66972,4151225,0,60.549999,61437,3577372,0
null,64247,2293299,0,null,71849,3638221,0,61.450001,79189,4507918,0,59.16,66972,4151225,0
null,36354,759594,1,null,64247,2293299,0,null,71849,3638221,0,61.450001,79189,4507918,0
58.650002,73448,3088162,0,null,36354,759594,1,null,64247,2293299,0,null,71849,3638221,0
59.330002,61144,3963475,0,58.650002,73448,3088162,0,null,36354,759594,1,null,64247,2293299,0
59.77,74990,4341590,0,59.330002,61144,3963475,0,58.650002,73448,3088162,0,null,36354,759594,1
59.599998,80252,4480052,0,59.77,74990,4341590,0,59.330002,61144,3963475,0,58.650002,73448,3088162,0
59.32,84337,4298026,0,59.599998,80252,4480052,0,59.77,74990,4341590,0,59.330002,61144,3963475,0
null,69294,2869289,0,59.32,84337,4298026,0,59.599998,80252,4480052,0,59.77,74990,4341590,0
null,46443,1397861,0,null,69294,2869289,0,59.32,84337,4298026,0,59.599998,80252,4480052,0
59.700001,66959,2998534,0,null,46443,1397861,0,null,69294,2869289,0,59.32,84337,4298026,0
60.18,79144,3459168,0,59.700001,66959,2998534,0,null,46443,1397861,0,null,69294,2869289,0
63.150002,75316,3673379,0,60.18,79144,3459168,0,59.700001,66959,2998534,0,null,46443,1397861,0
63.459999,73910,3724371,0,63.150002,75316,3673379,0,60.18,79144,3459168,0,59.700001,66959,2998534,0
63.130001,80378,3581657,0,63.459999,73910,3724371,0,63.150002,75316,3673379,0,60.18,79144,3459168,0
null,54162,2347926,0,63.130001,80378,3581657,0,63.459999,73910,3724371,0,63.150002,75316,3673379,0
null,42884,1122662,0,null,54162,2347926,0,63.130001,80378,3581657,0,63.459999,73910,3724371,0
63.380001,66173,2556067,0,null,42884,1122662,0,null,54162,2347926,0,63.130001,80378,3581657,0
62.439999,60921,3228475,0,63.380001,66173,2556067,0,null,42884,1122662,0,null,54162,2347926,0
61.349998,63824,3450260,0,62.439999,60921,3228475,0,63.380001,66173,2556067,0,null,42884,1122662,0
61.43,66990,3468553,0,61.349998,63824,3450260,0,62.439999,60921,3228475,0,63.380001,66173,2556067,0
62.139999,62380,3276923,0,61.43,66990,3468553,0,61.349998,63824,3450260,0,62.439999,60921,3228475,0
null,54193,2194826,0,62.139999,62380,3276923,0,61.43,66990,3468553,0,61.349998,63824,3450260,0
null,33974,990498,0,null,54193,2194826,0,62.139999,62380,3276923,0,61.43,66990,3468553,0
61.91,45660,2369329,0,null,33974,990498,0,null,54193,2194826,0,62.139999,62380,3276923,0
62.939999,50734,2865318,0,61.91,45660,2369329,0,null,33974,990498,0,null,54193,2194826,0
63.860001,55093,3063822,0,62.939999,50734,2865318,0,61.91,45660,2369329,0,null,33974,990498,0
65.010002,58914,3021062,0,63.860001,55093,3063822,0,62.939999,50734,2865318,0,61.91,45660,2369329,0
63.580002,58160,2882241,0,65.010002,58914,3021062,0,63.860001,55093,3063822,0,62.939999,50734,2865318,0
null,46660,1816499,0,63.580002,58160,2882241,0,65.010002,58914,3021062,0,63.860001,55093,3063822,0
null,30062,871273,1,null,46660,1816499,0,63.580002,58160,2882241,0,65.010002,58914,3021062,0
64.489998,48771,1951007,0,null,30062,871273,1,null,46660,1816499,0,63.580002,58160,2882241,0
65.690002,40800,2489933,0,64.489998,48771,1951007,0,null,30062,871273,1,null,46660,1816499,0
65.629997,45702,2526548,0,65.690002,40800,2489933,0,64.489998,48771,1951007,0,null,30062,871273,1
64.709999,46955,2494902,0,65.629997,45702,2526548,0,65.690002,40800,2489933,0,64.489998,48771,1951007,0
64.900002,48107,2482644,0,64.709999,46955,2494902,0,65.629997,45702,2526548,0,65.690002,40800,2489933,0
null,34519,1522838,0,64.900002,48107,2482644,0,64.709999,46955,2494902,0,65.629997,45702,2526548,0
null,22100,611348,0,null,34519,1522838,0,64.900002,48107,2482644,0,64.709999,46955,2494902,0
64.919998,35152,1587838,0,null,22100,611348,0,null,34519,1522838,0,64.900002,48107,2482644,0
65.279999,34063,2029898,0,64.919998,35152,1587838,0,null,22100,611348,0,null,34519,1522838,0
66.080002,36193,2002176,0,65.279999,34063,2029898,0,64.919998,35152,1587838,0,null,22100,611348,0
63.82,38529,2259526,0,66.080002,36193,2002176,0,65.279999,34063,2029898,0,64.919998,35152,1587838,0
65.370003,41864,2435188,0,63.82,38529,2259526,0,66.080002,36193,2002176,0,65.279999,34063,2029898,0
null,29610,1832440,0,65.370003,41864,2435188,0,63.82,38529,2259526,0,66.080002,36193,2002176,0
null,17441,926656,0,null,29610,1832440,0,65.370003,41864,2435188,0,63.82,38529,2259526,0
66.269997,27769,1808440,0,null,17441,926656,0,null,29610,1832440,0,65.370003,41864,2435188,0
65.489998,27797,2058410,0,66.269997,27769,1808440,0,null,17441,926656,0,null,29610,1832440,0
63.360001,29507,2072399,0,65.489998,27797,2058410,0,66.269997,27769,1808440,0,null,17441,926656,0
62.049999,29844,2001595,0,63.360001,29507,2072399,0,65.489998,27797,2058410,0,66.269997,27769,1808440,0
63.580002,28551,2042149,0,62.049999,29844,2001595,0,63.360001,29507,2072399,0,65.489998,27797,2058410,0
null,20574,1436767,0,63.580002,28551,2042149,0,62.049999,29844,2001595,0,63.360001,29507,2072399,0
null,13472,653413,0,null,20574,1436767,0,63.580002,28551,2042149,0,62.049999,29844,2001595,0
66.050003,24443,1307896,0,null,13472,653413,0,null,20574,1436767,0,63.580002,28551,2042149,0
66.07,23090,1423437,0,66.050003,24443,1307896,0,null,13472,653413,0,null,20574,1436767,0
66.209999,24533,1418969,0,66.07,23090,1423437,0,66.050003,24443,1307896,0,null,13472,653413,0
66.849998,27149,1332312,0,66.209999,24533,1418969,0,66.07,23090,1423437,0,66.050003,24443,1307896,0
66.32,21923,1313893,0,66.849998,27149,1332312,0,66.209999,24533,1418969,0,66.07,23090,1423437,0
null,12618,757222,0,66.32,21923,1313893,0,66.849998,27149,1332312,0,66.209999,24533,1418969,0
null,6972,380326,0,null,12618,757222,0,66.32,21923,1313893,0,66.849998,27149,1332312,0
null,6015,197510,1,null,6972,380326,0,null,12618,757222,0,66.32,21923,1313893,0
67.720001,21796,1244794,0,null,6015,197510,1,null,6972,380326,0,null,12618,757222,0
68.830002,17196,1104631,0,67.720001,21796,1244794,0,null,6015,197510,1,null,6972,380326,0
68.809998,19105,1233098,0,68.830002,17196,1104631,0,67.720001,21796,1244794,0,null,6015,197510,1
69.620003,17134,1385628,0,68.809998,19105,1233098,0,68.830002,17196,1104631,0,67.720001,21796,1244794,0
null,14606,1057144,0,69.620003,17134,1385628,0,68.809998,19105,1233098,0,68.830002,17196,1104631,0
null,5751,508980,0,null,14606,1057144,0,69.620003,17134,1385628,0,68.809998,19105,1233098,0
69.230003,14902,1057201,0,null,5751,508980,0,null,14606,1057144,0,69.620003,17134,1385628,0
70.050003,13082,1161375,0,69.230003,14902,1057201,0,null,5751,508980,0,null,14606,1057144,0
69.959999,18989,1152909,0,70.050003,13082,1161375,0,69.230003,14902,1057201,0,null,5751,508980,0